	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2015"																																																																
01382	"	Anesth dx knee arthroscopy"	N																																																															
01390	"	Anesth knee area procedure"	N																																																															
01392	"	Anesth knee area surgery"	N																																																															
01400	"	Anesth knee joint surgery"	N																																																															
01402	"	Anesth knee arthroplasty"	C																																																															
01404	"	Anesth amputation at knee"	C																																																															
01420	"	Anesth knee joint casting"	N																																																															
01430	"	Anesth knee veins surgery"	N																																																															
01432	"	Anesth knee vessel surg"	N																																																															
01440	"	Anesth knee arteries surg"	N																																																															
01442	"	Anesth knee artery surg"	C																																																															
01444	"	Anesth knee artery repair"	C																																																															
01462	"	Anesth lower leg procedure"	N																																																															
01464	"	Anesth ankle/ft arthroscopy"	N																																																															
01470	"	Anesth lower leg surgery"	N																																																															
01472	"	Anesth achilles tendon surg"	N																																																															
01474	"	Anesth lower leg surgery"	N																																																															
01480	"	Anesth lower leg bone surg"	N																																																															
01482	"	Anesth radical leg surgery"	N																																																															
01484	"	Anesth lower leg revision"	N																																																															
01486	"	Anesth ankle replacement"	C																																																															
01490	"	Anesth lower leg casting"	N																																																															
01500	"	Anesth leg arteries surg"	N																																																															
01502	"	Anesth lwr leg embolectomy"	C																																																															
01520	"	Anesth lower leg vein surg"	N																																																															
01522	"	Anesth lower leg vein surg"	N																																																															
0159T	"	Cad breast mri"	N		NJ6																																																													
01610	"	Anesth surgery of shoulder"	N																																																															
01620	"	Anesth shoulder procedure"	N																																																															
01622	"	Anes dx shoulder arthroscopy"	N																																																															
01630	"	Anesth surgery of shoulder"	N																																																															
01634	"	Anesth shoulder joint amput"	C																																																															
01636	"	Anesth forequarter amput"	C																																																															
01638	"	Anesth shoulder replacement"	C																																																															
0163T	"	Lumb artif diskectomy addl"	C		NI7																																																													
0164T	"	Remove lumb artif disc addl"	C		NI7																																																													
01650	"	Anesth shoulder artery surg"	N																																																															
01652	"	Anesth shoulder vessel surg"	C																																																															
01654	"	Anesth shoulder vessel surg"	C																																																															
01656	"	Anesth arm-leg vessel surg"	C																																																															
0165T	"	Revise lumb artif disc addl"	C		NI7																																																													
01670	"	Anesth shoulder vein surg"	N																																																															
01680	"	Anesth shoulder casting"	N																																																															
01682	"	Anesth airplane cast"	N																																																															
0169T	"	Place stereo cath brain"	C		NI7																																																													
01710	"	Anesth elbow area surgery"	N																																																															
01712	"	Anesth uppr arm tendon surg"	N																																																															
01714	"	Anesth uppr arm tendon surg"	N																																																															
01716	"	Anesth biceps tendon repair"	N																																																															
0171T	"	Lumbar spine proces distract"	J1	0425	NI7																																																													
0172T	"	Lumbar spine process addl"	N		NI7																																																													
01730	"	Anesth uppr arm procedure"	N																																																															
01732	"	Anesth dx elbow arthroscopy"	N																																																															
0173T	Iop monit io pressure	N		D13																																																													
01740	"	Anesth upper arm surgery"	N																																																															
01742	"	Anesth humerus surgery"	N																																																															
01744	"	Anesth humerus repair"	N																																																															
0174T	"	Cad cxr with interp"	N		NI7																																																													
01756	"	Anesth radical humerus surg"	C																																																															
01758	"	Anesth humeral lesion surg"	N																																																															
0175T	"	Cad cxr remote"	N		NI7																																																													
01760	"	Anesth elbow replacement"	N																																																															
01770	"	Anesth uppr arm artery surg"	N																																																															
01772	"	Anesth uppr arm embolectomy"	N																																																															
01780	"	Anesth upper arm vein surg"	N																																																															
01782	"	Anesth uppr arm vein repair"	N																																																															
0178T	"	64 lead ecg w/i&r"	B		NJ7																																																													
0179T	"	64 lead ecg w/tracing"	S	0100	NJ7																																																													
0180T	"	64 lead ecg w/i&r only"	B		NJ7																																																													
01810	"	Anesth lower arm surgery"	N																																																															
0181T	"	Corneal hysteresis"	N	0230	D15																																																													
01820	"	Anesth lower arm procedure"	N																																																															
01829	"	Anesth dx wrist arthroscopy"	N																																																															
0182T	"	Hdr elect brachytherapy"	S	0313	CP10																																																													
01830	"	Anesth lower arm surgery"	N																																																															
01832	"	Anesth wrist replacement"	N																																																															
0183T	"	Wound ultrasound"	N	0012	D14																																																													
01840	"	Anesth lwr arm artery surg"	N																																																															
01842	"	Anesth lwr arm embolectomy"	N																																																															
01844	"	Anesth vascular shunt surg"	N																																																															
0184T	"	Exc rectal tumor endoscopic"	T	0150	NI8																																																													
01850	"	Anesth lower arm vein surg"	N																																																															
01852	"	Anesth lwr arm vein repair"	N																																																															
0185T	"	Comptr probability analysis"	N		D14																																																													
01860	"	Anesth lower arm casting"	N																																																															
0186T	"	Suprachoroidal drug delivery"	T	0237	D14																																																													
0188T	"	Videoconf crit care 74 min"	M		NJ8																																																													
0189T	"	Videoconf crit care addl 30"	M		NJ8																																																													
0190T	"	Place intraoc radiation src"	N		NJ8																																																													
01916	"	Anesth dx arteriography"	N																																																															
0191T	"	Insert ant segment drain int"	T	0673	NJ8																																																													
01920	"	Anesth catheterize heart"	N																																																															
01922	"	Anesth cat or mri scan"	N																																																															
01924	"	Anes ther interven rad artrl"	N																																																															
01925	"	Anes ther interven rad card"	N																																																															
01926	"	Anes tx interv rad hrt/cran"	N																																																															
0192T	"	Insert ant segment drain ext"	T	0673	D14																																																													
01930	"	Anes ther interven rad vein"	N																																																															
01931	"	Anes ther interven rad tips"	N																																																															
01932	"	Anes tx interv rad th vein"	N																																																															
01933	"	Anes tx interv rad cran vein"	N																																																															
01935	"	Anesth perc img dx sp proc"	N		NI8																																																													
01936	"	Anesth perc img tx sp proc"	N		NI8																																																													
01951	"	Anesth burn less 4 percent"	N																																																															
01952	"	Anesth burn 4-9 percent"	N																																																															
